county,municipality,ctv,reporting_unit,year,office,district,wsa_dist,wss_dist,con_dist,party,candidate,votes
Adams,Preston,Town,Wards 1 - 3,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Preston,Town,Wards 1 - 3,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,5
Adams,Preston,Town,Wards 1 - 3,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,5
Adams,Preston,Town,Wards 1 - 3,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Preston,Town,Wards 1 - 3,2008,president,NA,72,24,6,Scattering,Scattering,0
Adams,Quincy,Town,Wards 1 & 2,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,428
Adams,Quincy,Town,Wards 1 & 2,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,205
Adams,Quincy,Town,Wards 1 & 2,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,1
Adams,Quincy,Town,Wards 1 & 2,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,0
Adams,Quincy,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Quincy,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Quincy,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,3
Adams,Quincy,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,4
Adams,Quincy,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Quincy,Town,Wards 1 & 2,2008,president,NA,72,24,6,Scattering,Scattering,1
Adams,Richfield,Town,Ward 1,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,50
Adams,Richfield,Town,Ward 1,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,26
Adams,Richfield,Town,Ward 1,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,0
Adams,Richfield,Town,Ward 1,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,0
Adams,Richfield,Town,Ward 1,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Richfield,Town,Ward 1,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Richfield,Town,Ward 1,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,0
Adams,Richfield,Town,Ward 1,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,6
Adams,Richfield,Town,Ward 1,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Richfield,Town,Ward 1,2008,president,NA,72,24,6,Scattering,Scattering,0
Adams,Rome,Town,Wards 1 - 5,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,903
Adams,Rome,Town,Wards 1 - 5,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,920
Adams,Rome,Town,Wards 1 - 5,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,0
Adams,Rome,Town,Wards 1 - 5,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,7
Adams,Rome,Town,Wards 1 - 5,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Rome,Town,Wards 1 - 5,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Rome,Town,Wards 1 - 5,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,15
Adams,Rome,Town,Wards 1 - 5,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,1
Adams,Rome,Town,Wards 1 - 5,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,1
Adams,Rome,Town,Wards 1 - 5,2008,president,NA,72,24,6,Scattering,Scattering,6
Adams,Springville,Town,Wards 1 & 2,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,308
Adams,Springville,Town,Wards 1 & 2,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,240
Adams,Springville,Town,Wards 1 & 2,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,1
Adams,Springville,Town,Wards 1 & 2,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,1
Adams,Springville,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Springville,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Springville,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,5
Adams,Springville,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,3
Adams,Springville,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Springville,Town,Wards 1 & 2,2008,president,NA,72,24,6,Scattering,Scattering,1
Adams,Strongs Prairie,Town,Wards 1 & 2,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,372
Adams,Strongs Prairie,Town,Wards 1 & 2,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,250
Adams,Strongs Prairie,Town,Wards 1 & 2,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,0
Adams,Strongs Prairie,Town,Wards 1 & 2,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,0
Adams,Strongs Prairie,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Strongs Prairie,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Strongs Prairie,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,2
Adams,Strongs Prairie,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,0
Adams,Strongs Prairie,Town,Wards 1 & 2,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Strongs Prairie,Town,Wards 1 & 2,2008,president,NA,72,24,6,Scattering,Scattering,3
Adams,Friendship,Village,Ward 1,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,192
Adams,Friendship,Village,Ward 1,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,103
Adams,Friendship,Village,Ward 1,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,1
Adams,Friendship,Village,Ward 1,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,0
Adams,Friendship,Village,Ward 1,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Friendship,Village,Ward 1,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Friendship,Village,Ward 1,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,4
Adams,Friendship,Village,Ward 1,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,2
Adams,Friendship,Village,Ward 1,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Friendship,Village,Ward 1,2008,president,NA,72,24,6,Scattering,Scattering,1
Adams,Adams,City,Wards 1 - 5,2008,president,NA,72,24,6,Democratic,Barack Obama / Joe Biden,539
Adams,Adams,City,Wards 1 - 5,2008,president,NA,72,24,6,Republican,John McCain / Sarah Palin,229
Adams,Adams,City,Wards 1 - 5,2008,president,NA,72,24,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,3
Adams,Adams,City,Wards 1 - 5,2008,president,NA,72,24,6,Libertarian,Bob Barr / Wayne A Root,0
Adams,Adams,City,Wards 1 - 5,2008,president,NA,72,24,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Adams,City,Wards 1 - 5,2008,president,NA,72,24,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Adams,City,Wards 1 - 5,2008,president,NA,72,24,6,Independent 3,Ralph Nader / Matt Gonzalez,10
Adams,Adams,City,Wards 1 - 5,2008,president,NA,72,24,6,Independent 4,Chuck Baldwin / Darrell L Castle,5
Adams,Adams,City,Wards 1 - 5,2008,president,NA,72,24,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,1
Adams,Adams,City,Wards 1 - 5,2008,president,NA,72,24,6,Scattering,Scattering,5
Adams,Wisconsin Dells,City,Ward 5,2008,president,NA,42,14,6,Democratic,Barack Obama / Joe Biden,7
Adams,Wisconsin Dells,City,Ward 5,2008,president,NA,42,14,6,Republican,John McCain / Sarah Palin,12
Adams,Wisconsin Dells,City,Ward 5,2008,president,NA,42,14,6,Wisconsin Green,Cynthia McKinney / Rosa Clemente,0
Adams,Wisconsin Dells,City,Ward 5,2008,president,NA,42,14,6,Libertarian,Bob Barr / Wayne A Root,0
Adams,Wisconsin Dells,City,Ward 5,2008,president,NA,42,14,6,Independent,Brian Moore / Steward A Alexander,0
Adams,Wisconsin Dells,City,Ward 5,2008,president,NA,42,14,6,Independent 2,Gloria la Riva / Robert Moses,0
Adams,Wisconsin Dells,City,Ward 5,2008,president,NA,42,14,6,Independent 3,Ralph Nader / Matt Gonzalez,0
Adams,Wisconsin Dells,City,Ward 5,2008,president,NA,42,14,6,Independent 4,Chuck Baldwin / Darrell L Castle,0
Adams,Wisconsin Dells,City,Ward 5,2008,president,NA,42,14,6,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Adams,Wisconsin Dells,City,Ward 5,2008,president,NA,42,14,6,Scattering,Scattering,0
Ashland,Agenda,Town,Ward 1,2008,president,NA,74,25,7,Democratic,Barack Obama / Joe Biden,120
Ashland,Agenda,Town,Ward 1,2008,president,NA,74,25,7,Republican,John McCain / Sarah Palin,127
Ashland,Agenda,Town,Ward 1,2008,president,NA,74,25,7,Wisconsin Green,Cynthia McKinney / Rosa Clemente,0
Ashland,Agenda,Town,Ward 1,2008,president,NA,74,25,7,Libertarian,Bob Barr / Wayne A Root,2
Ashland,Agenda,Town,Ward 1,2008,president,NA,74,25,7,Independent,Brian Moore / Steward A Alexander,0
Ashland,Agenda,Town,Ward 1,2008,president,NA,74,25,7,Independent 2,Gloria la Riva / Robert Moses,0
Ashland,Agenda,Town,Ward 1,2008,president,NA,74,25,7,Independent 3,Ralph Nader / Matt Gonzalez,4
Ashland,Agenda,Town,Ward 1,2008,president,NA,74,25,7,Independent 4,Chuck Baldwin / Darrell L Castle,1
Ashland,Agenda,Town,Ward 1,2008,president,NA,74,25,7,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Ashland,Agenda,Town,Ward 1,2008,president,NA,74,25,7,Scattering,Scattering,0
Ashland,Ashland,Town,Ward 1,2008,president,NA,74,25,7,Democratic,Barack Obama / Joe Biden,200
Ashland,Ashland,Town,Ward 1,2008,president,NA,74,25,7,Republican,John McCain / Sarah Palin,91
Ashland,Ashland,Town,Ward 1,2008,president,NA,74,25,7,Wisconsin Green,Cynthia McKinney / Rosa Clemente,0
Ashland,Ashland,Town,Ward 1,2008,president,NA,74,25,7,Libertarian,Bob Barr / Wayne A Root,1
Ashland,Ashland,Town,Ward 1,2008,president,NA,74,25,7,Independent,Brian Moore / Steward A Alexander,0
Ashland,Ashland,Town,Ward 1,2008,president,NA,74,25,7,Independent 2,Gloria la Riva / Robert Moses,0
Ashland,Ashland,Town,Ward 1,2008,president,NA,74,25,7,Independent 3,Ralph Nader / Matt Gonzalez,7
Ashland,Ashland,Town,Ward 1,2008,president,NA,74,25,7,Independent 4,Chuck Baldwin / Darrell L Castle,1
Ashland,Ashland,Town,Ward 1,2008,president,NA,74,25,7,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Ashland,Ashland,Town,Ward 1,2008,president,NA,74,25,7,Scattering,Scattering,1
Ashland,Chippewa,Town,Ward 1,2008,president,NA,74,25,7,Democratic,Barack Obama / Joe Biden,116
Ashland,Chippewa,Town,Ward 1,2008,president,NA,74,25,7,Republican,John McCain / Sarah Palin,83
Ashland,Chippewa,Town,Ward 1,2008,president,NA,74,25,7,Wisconsin Green,Cynthia McKinney / Rosa Clemente,0
Ashland,Chippewa,Town,Ward 1,2008,president,NA,74,25,7,Libertarian,Bob Barr / Wayne A Root,1
Ashland,Chippewa,Town,Ward 1,2008,president,NA,74,25,7,Independent,Brian Moore / Steward A Alexander,1
Ashland,Chippewa,Town,Ward 1,2008,president,NA,74,25,7,Independent 2,Gloria la Riva / Robert Moses,0
Ashland,Chippewa,Town,Ward 1,2008,president,NA,74,25,7,Independent 3,Ralph Nader / Matt Gonzalez,0
Ashland,Chippewa,Town,Ward 1,2008,president,NA,74,25,7,Independent 4,Chuck Baldwin / Darrell L Castle,1
Ashland,Chippewa,Town,Ward 1,2008,president,NA,74,25,7,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Ashland,Chippewa,Town,Ward 1,2008,president,NA,74,25,7,Scattering,Scattering,0
Ashland,Gingles,Town,Wards 1 & 2,2008,president,NA,74,25,7,Democratic,Barack Obama / Joe Biden,279
Ashland,Gingles,Town,Wards 1 & 2,2008,president,NA,74,25,7,Republican,John McCain / Sarah Palin,131
Ashland,Gingles,Town,Wards 1 & 2,2008,president,NA,74,25,7,Wisconsin Green,Cynthia McKinney / Rosa Clemente,0
Ashland,Gingles,Town,Wards 1 & 2,2008,president,NA,74,25,7,Libertarian,Bob Barr / Wayne A Root,0
Ashland,Gingles,Town,Wards 1 & 2,2008,president,NA,74,25,7,Independent,Brian Moore / Steward A Alexander,0
Ashland,Gingles,Town,Wards 1 & 2,2008,president,NA,74,25,7,Independent 2,Gloria la Riva / Robert Moses,0
Ashland,Gingles,Town,Wards 1 & 2,2008,president,NA,74,25,7,Independent 3,Ralph Nader / Matt Gonzalez,3
Ashland,Gingles,Town,Wards 1 & 2,2008,president,NA,74,25,7,Independent 4,Chuck Baldwin / Darrell L Castle,1
Ashland,Gingles,Town,Wards 1 & 2,2008,president,NA,74,25,7,Independent 5,Jeffrey J Wamboldt / David J Klimisch,0
Ashland,Gingles,Town,Wards 1 & 2,2008,president,NA,74,25,7,Scattering,Scattering,1
