county,municipality,ctv,reporting_unit,year,office,district,party,candidate,votes
Adams,Friendship,Village,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,75
Adams,Friendship,Village,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,6
Adams,Friendship,Village,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,41
Adams,Friendship,Village,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Adams,Friendship,Village,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,1
Adams,Friendship,Village,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Adams,Friendship,Village,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,Friendship,Village,Ward 1,2002,governor,NA,Scattering,Scattering,0
Adams,Adams,City,Wards 1 - 5,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,266
Adams,Adams,City,Wards 1 - 5,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,158
Adams,Adams,City,Wards 1 - 5,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,8
Adams,Adams,City,Wards 1 - 5,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,86
Adams,Adams,City,Wards 1 - 5,2002,governor,NA,Independent,Alan D Eisenberg,1
Adams,Adams,City,Wards 1 - 5,2002,governor,NA,Independent 2,Ty A Bollerud,2
Adams,Adams,City,Wards 1 - 5,2002,governor,NA,Independent 3,Mike Mangan,2
Adams,Adams,City,Wards 1 - 5,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,Adams,City,Wards 1 - 5,2002,governor,NA,Scattering,Scattering,0
Adams,Wisconsin Dells,City,Ward 5,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,0
Adams,Wisconsin Dells,City,Ward 5,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,6
