county,county_fips,mcd_fips,municipality,ctv,year,office,party,candidate,votes,total_votes
ADAMS,55001,5500100300,ADAMS,T,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,79,114
ADAMS,55001,5500100300,ADAMS,T,2009,SUPREME COURT,SCATTERING,SCATTERING,0,114
ADAMS,55001,5500100300,ADAMS,T,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",105,254
ADAMS,55001,5500100300,ADAMS,T,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,148,254
ADAMS,55001,5500100300,ADAMS,T,2011,SUPREME COURT,SCATTERING,SCATTERING,1,254
ADAMS,55001,5500100300,ADAMS,T,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,134,228
ADAMS,55001,5500100300,ADAMS,T,2013,SUPREME COURT,LIBERAL,ED FALLONE,94,228
ADAMS,55001,5500100300,ADAMS,T,2013,SUPREME COURT,SCATTERING,SCATTERING,0,228
ADAMS,55001,5500100300,ADAMS,T,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,117,277
ADAMS,55001,5500100300,ADAMS,T,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,160,277
ADAMS,55001,5500100300,ADAMS,T,2015,SUPREME COURT,SCATTERING,SCATTERING,0,277
ADAMS,55001,5500100300,ADAMS,T,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,212,389
ADAMS,55001,5500100300,ADAMS,T,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,177,389
ADAMS,55001,5500100300,ADAMS,T,2016,SUPREME COURT,SCATTERING,SCATTERING,0,389
ADAMS,55001,5500100300,ADAMS,T,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,109,109
ADAMS,55001,5500100300,ADAMS,T,2017,SUPREME COURT,SCATTERING,SCATTERING,0,109
ADAMS,55001,5500100300,ADAMS,T,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,132,247
ADAMS,55001,5500100300,ADAMS,T,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,115,247
ADAMS,55001,5500100300,ADAMS,T,2018,SUPREME COURT,SCATTERING,SCATTERING,0,247
ADAMS,55001,5500100300,ADAMS,T,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,128,229
ADAMS,55001,5500100300,ADAMS,T,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,101,229
ADAMS,55001,5500100300,ADAMS,T,2019,SUPREME COURT,SCATTERING,SCATTERING,0,229
ADAMS,55001,5500100300,ADAMS,T,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,186,328
ADAMS,55001,5500100300,ADAMS,T,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,142,328
ADAMS,55001,5500100300,ADAMS,T,2020,SUPREME COURT,SCATTERING,SCATTERING,0,328
ADAMS,55001,5500100300,ADAMS,T,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,260,504
ADAMS,55001,5500100300,ADAMS,T,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,239,504
ADAMS,55001,5500100300,ADAMS,T,2023,SUPREME COURT,SCATTERING,SCATTERING,5,504
ADAMS,55001,5500100300,ADAMS,T,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,313,547
ADAMS,55001,5500100300,ADAMS,T,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,234,547
ADAMS,55001,5500100300,ADAMS,T,2025,SUPREME COURT,SCATTERING,SCATTERING,0,547
ADAMS,55001,5500100300,ADAMS,T,2026,SUPREME COURT,CONSERVATIVE,MARIA S. LAZAR,163,318
ADAMS,55001,5500100300,ADAMS,T,2026,SUPREME COURT,LIBERAL,CHRIS TAYLOR,155,318
ADAMS,55001,5500100300,ADAMS,T,2026,SUPREME COURT,SCATTERING,SCATTERING,0,318
ADAMS,55001,5500107300,BIG FLATS,T,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,115,176
ADAMS,55001,5500107300,BIG FLATS,T,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,61,176
ADAMS,55001,5500107300,BIG FLATS,T,2000,SUPREME COURT,SCATTERING,SCATTERING,0,176
ADAMS,55001,5500107300,BIG FLATS,T,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",167,167
ADAMS,55001,5500107300,BIG FLATS,T,2001,SUPREME COURT,SCATTERING,SCATTERING,0,167
ADAMS,55001,5500107300,BIG FLATS,T,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,157,288
ADAMS,55001,5500107300,BIG FLATS,T,2003,SUPREME COURT,LIBERAL,ED BRUNNER,131,288
ADAMS,55001,5500107300,BIG FLATS,T,2003,SUPREME COURT,SCATTERING,SCATTERING,0,288
ADAMS,55001,5500107300,BIG FLATS,T,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,182,183
ADAMS,55001,5500107300,BIG FLATS,T,2005,SUPREME COURT,SCATTERING,SCATTERING,1,183
ADAMS,55001,5500107300,BIG FLATS,T,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,58,58
ADAMS,55001,5500107300,BIG FLATS,T,2006,SUPREME COURT,SCATTERING,SCATTERING,0,58
ADAMS,55001,5500107300,BIG FLATS,T,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,100,165
ADAMS,55001,5500107300,BIG FLATS,T,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,64,165
ADAMS,55001,5500107300,BIG FLATS,T,2007,SUPREME COURT,SCATTERING,SCATTERING,1,165
ADAMS,55001,5500107300,BIG FLATS,T,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,58,113
ADAMS,55001,5500107300,BIG FLATS,T,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,55,113
ADAMS,55001,5500107300,BIG FLATS,T,2008,SUPREME COURT,SCATTERING,SCATTERING,0,113
ADAMS,55001,5500107300,BIG FLATS,T,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,56,158
