county,county_fips,mcd_fips,municipality,ctv,year,office,party,candidate,votes,total_votes
MONROE,55081,5508183450,WARRENS,V,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,22,32
MONROE,55081,5508183450,WARRENS,V,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,10,32
MONROE,55081,5508183450,WARRENS,V,2000,SUPREME COURT,SCATTERING,SCATTERING,0,32
MONROE,55081,5508183450,WARRENS,V,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",25,25
MONROE,55081,5508183450,WARRENS,V,2001,SUPREME COURT,SCATTERING,SCATTERING,0,25
MONROE,55081,5508183450,WARRENS,V,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,25,38
MONROE,55081,5508183450,WARRENS,V,2003,SUPREME COURT,LIBERAL,ED BRUNNER,13,38
MONROE,55081,5508183450,WARRENS,V,2003,SUPREME COURT,SCATTERING,SCATTERING,0,38
MONROE,55081,5508183450,WARRENS,V,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,24,24
MONROE,55081,5508183450,WARRENS,V,2005,SUPREME COURT,SCATTERING,SCATTERING,0,24
MONROE,55081,5508183450,WARRENS,V,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,17,17
MONROE,55081,5508183450,WARRENS,V,2006,SUPREME COURT,SCATTERING,SCATTERING,0,17
MONROE,55081,5508183450,WARRENS,V,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,33,42
MONROE,55081,5508183450,WARRENS,V,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,9,42
MONROE,55081,5508183450,WARRENS,V,2007,SUPREME COURT,SCATTERING,SCATTERING,0,42
MONROE,55081,5508183450,WARRENS,V,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,34,43
MONROE,55081,5508183450,WARRENS,V,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,8,43
MONROE,55081,5508183450,WARRENS,V,2008,SUPREME COURT,SCATTERING,SCATTERING,1,43
MONROE,55081,5508183450,WARRENS,V,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,23,39
MONROE,55081,5508183450,WARRENS,V,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,16,39
MONROE,55081,5508183450,WARRENS,V,2009,SUPREME COURT,SCATTERING,SCATTERING,0,39
MONROE,55081,5508183450,WARRENS,V,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",36,60
MONROE,55081,5508183450,WARRENS,V,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,24,60
MONROE,55081,5508183450,WARRENS,V,2011,SUPREME COURT,SCATTERING,SCATTERING,0,60
MONROE,55081,5508183450,WARRENS,V,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,17,35
MONROE,55081,5508183450,WARRENS,V,2013,SUPREME COURT,LIBERAL,ED FALLONE,18,35
MONROE,55081,5508183450,WARRENS,V,2013,SUPREME COURT,SCATTERING,SCATTERING,0,35
MONROE,55081,5508183450,WARRENS,V,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,24,43
MONROE,55081,5508183450,WARRENS,V,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,19,43
MONROE,55081,5508183450,WARRENS,V,2015,SUPREME COURT,SCATTERING,SCATTERING,0,43
MONROE,55081,5508183450,WARRENS,V,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,84,122
MONROE,55081,5508183450,WARRENS,V,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,38,122
MONROE,55081,5508183450,WARRENS,V,2016,SUPREME COURT,SCATTERING,SCATTERING,0,122
MONROE,55081,5508183450,WARRENS,V,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,34,34
MONROE,55081,5508183450,WARRENS,V,2017,SUPREME COURT,SCATTERING,SCATTERING,0,34
MONROE,55081,5508183450,WARRENS,V,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,35,49
MONROE,55081,5508183450,WARRENS,V,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,14,49
MONROE,55081,5508183450,WARRENS,V,2018,SUPREME COURT,SCATTERING,SCATTERING,0,49
MONROE,55081,5508183450,WARRENS,V,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,60,81
MONROE,55081,5508183450,WARRENS,V,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,21,81
MONROE,55081,5508183450,WARRENS,V,2019,SUPREME COURT,SCATTERING,SCATTERING,0,81
MONROE,55081,5508183450,WARRENS,V,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,73,108
MONROE,55081,5508183450,WARRENS,V,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,35,108
MONROE,55081,5508183450,WARRENS,V,2020,SUPREME COURT,SCATTERING,SCATTERING,0,108
MONROE,55081,5508183450,WARRENS,V,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,68,121
MONROE,55081,5508183450,WARRENS,V,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,53,121
MONROE,55081,5508183450,WARRENS,V,2023,SUPREME COURT,SCATTERING,SCATTERING,0,121
MONROE,55081,5508183450,WARRENS,V,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,95,164
MONROE,55081,5508183450,WARRENS,V,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,69,164
MONROE,55081,5508183450,WARRENS,V,2025,SUPREME COURT,SCATTERING,SCATTERING,0,164
MONROE,55081,5508183450,WARRENS,V,2026,SUPREME COURT,CONSERVATIVE,MARIA S. LAZAR,46,79
MONROE,55081,5508183450,WARRENS,V,2026,SUPREME COURT,LIBERAL,CHRIS TAYLOR,33,79
MONROE,55081,5508183450,WARRENS,V,2026,SUPREME COURT,SCATTERING,SCATTERING,0,79
MONROE,55081,5508185125,WELLINGTON,T,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,25,51
MONROE,55081,5508185125,WELLINGTON,T,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,25,51
MONROE,55081,5508185125,WELLINGTON,T,2000,SUPREME COURT,SCATTERING,SCATTERING,1,51
MONROE,55081,5508185125,WELLINGTON,T,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",60,60
MONROE,55081,5508185125,WELLINGTON,T,2001,SUPREME COURT,SCATTERING,SCATTERING,0,60
MONROE,55081,5508185125,WELLINGTON,T,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,47,85
MONROE,55081,5508185125,WELLINGTON,T,2003,SUPREME COURT,LIBERAL,ED BRUNNER,38,85
MONROE,55081,5508185125,WELLINGTON,T,2003,SUPREME COURT,SCATTERING,SCATTERING,0,85
MONROE,55081,5508185125,WELLINGTON,T,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,41,41
MONROE,55081,5508185125,WELLINGTON,T,2005,SUPREME COURT,SCATTERING,SCATTERING,0,41
MONROE,55081,5508185125,WELLINGTON,T,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,54,54
MONROE,55081,5508185125,WELLINGTON,T,2006,SUPREME COURT,SCATTERING,SCATTERING,0,54
MONROE,55081,5508185125,WELLINGTON,T,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,78,130
MONROE,55081,5508185125,WELLINGTON,T,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,52,130
MONROE,55081,5508185125,WELLINGTON,T,2007,SUPREME COURT,SCATTERING,SCATTERING,0,130
MONROE,55081,5508185125,WELLINGTON,T,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,37,67
MONROE,55081,5508185125,WELLINGTON,T,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,29,67
MONROE,55081,5508185125,WELLINGTON,T,2008,SUPREME COURT,SCATTERING,SCATTERING,1,67
MONROE,55081,5508185125,WELLINGTON,T,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,24,62
MONROE,55081,5508185125,WELLINGTON,T,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,38,62
MONROE,55081,5508185125,WELLINGTON,T,2009,SUPREME COURT,SCATTERING,SCATTERING,0,62
MONROE,55081,5508185125,WELLINGTON,T,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",52,135
MONROE,55081,5508185125,WELLINGTON,T,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,83,135
MONROE,55081,5508185125,WELLINGTON,T,2011,SUPREME COURT,SCATTERING,SCATTERING,0,135
MONROE,55081,5508185125,WELLINGTON,T,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,40,80
MONROE,55081,5508185125,WELLINGTON,T,2013,SUPREME COURT,LIBERAL,ED FALLONE,40,80
MONROE,55081,5508185125,WELLINGTON,T,2013,SUPREME COURT,SCATTERING,SCATTERING,0,80
MONROE,55081,5508185125,WELLINGTON,T,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,33,117
MONROE,55081,5508185125,WELLINGTON,T,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,84,117
MONROE,55081,5508185125,WELLINGTON,T,2015,SUPREME COURT,SCATTERING,SCATTERING,0,117
MONROE,55081,5508185125,WELLINGTON,T,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,81,184
MONROE,55081,5508185125,WELLINGTON,T,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,103,184
MONROE,55081,5508185125,WELLINGTON,T,2016,SUPREME COURT,SCATTERING,SCATTERING,0,184
MONROE,55081,5508185125,WELLINGTON,T,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,78,78
MONROE,55081,5508185125,WELLINGTON,T,2017,SUPREME COURT,SCATTERING,SCATTERING,0,78
MONROE,55081,5508185125,WELLINGTON,T,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,23,73
MONROE,55081,5508185125,WELLINGTON,T,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,49,73
MONROE,55081,5508185125,WELLINGTON,T,2018,SUPREME COURT,SCATTERING,SCATTERING,1,73
MONROE,55081,5508185125,WELLINGTON,T,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,51,127
MONROE,55081,5508185125,WELLINGTON,T,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,76,127
MONROE,55081,5508185125,WELLINGTON,T,2019,SUPREME COURT,SCATTERING,SCATTERING,0,127
MONROE,55081,5508185125,WELLINGTON,T,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,58,151
MONROE,55081,5508185125,WELLINGTON,T,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,93,151
MONROE,55081,5508185125,WELLINGTON,T,2020,SUPREME COURT,SCATTERING,SCATTERING,0,151
MONROE,55081,5508185125,WELLINGTON,T,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,83,176
MONROE,55081,5508185125,WELLINGTON,T,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,92,176
MONROE,55081,5508185125,WELLINGTON,T,2023,SUPREME COURT,SCATTERING,SCATTERING,1,176
MONROE,55081,5508185125,WELLINGTON,T,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,100,196
MONROE,55081,5508185125,WELLINGTON,T,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,96,196
MONROE,55081,5508185125,WELLINGTON,T,2025,SUPREME COURT,SCATTERING,SCATTERING,0,196
MONROE,55081,5508185125,WELLINGTON,T,2026,SUPREME COURT,CONSERVATIVE,MARIA S. LAZAR,46,111
MONROE,55081,5508185125,WELLINGTON,T,2026,SUPREME COURT,LIBERAL,CHRIS TAYLOR,65,111
MONROE,55081,5508185125,WELLINGTON,T,2026,SUPREME COURT,SCATTERING,SCATTERING,0,111
MONROE,55081,5508185150,WELLS,T,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,31,61
MONROE,55081,5508185150,WELLS,T,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,30,61
MONROE,55081,5508185150,WELLS,T,2000,SUPREME COURT,SCATTERING,SCATTERING,0,61
MONROE,55081,5508185150,WELLS,T,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",52,52
MONROE,55081,5508185150,WELLS,T,2001,SUPREME COURT,SCATTERING,SCATTERING,0,52
MONROE,55081,5508185150,WELLS,T,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,27,52
MONROE,55081,5508185150,WELLS,T,2003,SUPREME COURT,LIBERAL,ED BRUNNER,25,52
MONROE,55081,5508185150,WELLS,T,2003,SUPREME COURT,SCATTERING,SCATTERING,0,52
MONROE,55081,5508185150,WELLS,T,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,112,112
MONROE,55081,5508185150,WELLS,T,2005,SUPREME COURT,SCATTERING,SCATTERING,0,112
MONROE,55081,5508185150,WELLS,T,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,38,38
MONROE,55081,5508185150,WELLS,T,2006,SUPREME COURT,SCATTERING,SCATTERING,0,38
MONROE,55081,5508185150,WELLS,T,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,156,231
MONROE,55081,5508185150,WELLS,T,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,75,231
MONROE,55081,5508185150,WELLS,T,2007,SUPREME COURT,SCATTERING,SCATTERING,0,231
MONROE,55081,5508185150,WELLS,T,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,49,66
MONROE,55081,5508185150,WELLS,T,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,17,66
MONROE,55081,5508185150,WELLS,T,2008,SUPREME COURT,SCATTERING,SCATTERING,0,66
MONROE,55081,5508185150,WELLS,T,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,64,158
MONROE,55081,5508185150,WELLS,T,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,94,158
MONROE,55081,5508185150,WELLS,T,2009,SUPREME COURT,SCATTERING,SCATTERING,0,158
MONROE,55081,5508185150,WELLS,T,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",82,141
MONROE,55081,5508185150,WELLS,T,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,59,141
MONROE,55081,5508185150,WELLS,T,2011,SUPREME COURT,SCATTERING,SCATTERING,0,141
MONROE,55081,5508185150,WELLS,T,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,59,88
MONROE,55081,5508185150,WELLS,T,2013,SUPREME COURT,LIBERAL,ED FALLONE,29,88
MONROE,55081,5508185150,WELLS,T,2013,SUPREME COURT,SCATTERING,SCATTERING,0,88
MONROE,55081,5508185150,WELLS,T,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,21,49
MONROE,55081,5508185150,WELLS,T,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,28,49
MONROE,55081,5508185150,WELLS,T,2015,SUPREME COURT,SCATTERING,SCATTERING,0,49
MONROE,55081,5508185150,WELLS,T,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,111,191
MONROE,55081,5508185150,WELLS,T,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,80,191
MONROE,55081,5508185150,WELLS,T,2016,SUPREME COURT,SCATTERING,SCATTERING,0,191
MONROE,55081,5508185150,WELLS,T,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,44,44
MONROE,55081,5508185150,WELLS,T,2017,SUPREME COURT,SCATTERING,SCATTERING,0,44
MONROE,55081,5508185150,WELLS,T,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,65,114
MONROE,55081,5508185150,WELLS,T,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,49,114
MONROE,55081,5508185150,WELLS,T,2018,SUPREME COURT,SCATTERING,SCATTERING,0,114
MONROE,55081,5508185150,WELLS,T,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,99,161
MONROE,55081,5508185150,WELLS,T,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,62,161
MONROE,55081,5508185150,WELLS,T,2019,SUPREME COURT,SCATTERING,SCATTERING,0,161
MONROE,55081,5508185150,WELLS,T,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,94,167
MONROE,55081,5508185150,WELLS,T,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,73,167
MONROE,55081,5508185150,WELLS,T,2020,SUPREME COURT,SCATTERING,SCATTERING,0,167
MONROE,55081,5508185150,WELLS,T,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,104,160
MONROE,55081,5508185150,WELLS,T,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,56,160
MONROE,55081,5508185150,WELLS,T,2023,SUPREME COURT,SCATTERING,SCATTERING,0,160
MONROE,55081,5508185150,WELLS,T,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,138,215
MONROE,55081,5508185150,WELLS,T,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,77,215
MONROE,55081,5508185150,WELLS,T,2025,SUPREME COURT,SCATTERING,SCATTERING,0,215
MONROE,55081,5508185150,WELLS,T,2026,SUPREME COURT,CONSERVATIVE,MARIA S. LAZAR,86,147
MONROE,55081,5508185150,WELLS,T,2026,SUPREME COURT,LIBERAL,CHRIS TAYLOR,61,147
MONROE,55081,5508185150,WELLS,T,2026,SUPREME COURT,SCATTERING,SCATTERING,0,147
MONROE,55081,5508187525,WILTON,V,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,43,84
MONROE,55081,5508187525,WILTON,V,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,41,84
MONROE,55081,5508187525,WILTON,V,2000,SUPREME COURT,SCATTERING,SCATTERING,0,84
MONROE,55081,5508187525,WILTON,V,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",79,79
MONROE,55081,5508187525,WILTON,V,2001,SUPREME COURT,SCATTERING,SCATTERING,0,79
MONROE,55081,5508187525,WILTON,V,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,62,134
MONROE,55081,5508187525,WILTON,V,2003,SUPREME COURT,LIBERAL,ED BRUNNER,72,134
MONROE,55081,5508187525,WILTON,V,2003,SUPREME COURT,SCATTERING,SCATTERING,0,134
MONROE,55081,5508187525,WILTON,V,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,69,69
MONROE,55081,5508187525,WILTON,V,2005,SUPREME COURT,SCATTERING,SCATTERING,0,69
MONROE,55081,5508187525,WILTON,V,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,61,61
MONROE,55081,5508187525,WILTON,V,2006,SUPREME COURT,SCATTERING,SCATTERING,0,61
MONROE,55081,5508187525,WILTON,V,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,59,105
MONROE,55081,5508187525,WILTON,V,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,46,105
MONROE,55081,5508187525,WILTON,V,2007,SUPREME COURT,SCATTERING,SCATTERING,0,105
MONROE,55081,5508187525,WILTON,V,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,30,65
MONROE,55081,5508187525,WILTON,V,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,35,65
MONROE,55081,5508187525,WILTON,V,2008,SUPREME COURT,SCATTERING,SCATTERING,0,65
MONROE,55081,5508187525,WILTON,V,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,44,134
MONROE,55081,5508187525,WILTON,V,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,90,134
MONROE,55081,5508187525,WILTON,V,2009,SUPREME COURT,SCATTERING,SCATTERING,0,134
MONROE,55081,5508187525,WILTON,V,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",70,161
MONROE,55081,5508187525,WILTON,V,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,91,161
MONROE,55081,5508187525,WILTON,V,2011,SUPREME COURT,SCATTERING,SCATTERING,0,161
MONROE,55081,5508187525,WILTON,V,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,63,105
MONROE,55081,5508187525,WILTON,V,2013,SUPREME COURT,LIBERAL,ED FALLONE,42,105
MONROE,55081,5508187525,WILTON,V,2013,SUPREME COURT,SCATTERING,SCATTERING,0,105
MONROE,55081,5508187525,WILTON,V,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,21,70
MONROE,55081,5508187525,WILTON,V,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,49,70
MONROE,55081,5508187525,WILTON,V,2015,SUPREME COURT,SCATTERING,SCATTERING,0,70
MONROE,55081,5508187525,WILTON,V,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,70,148
MONROE,55081,5508187525,WILTON,V,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,78,148
MONROE,55081,5508187525,WILTON,V,2016,SUPREME COURT,SCATTERING,SCATTERING,0,148
MONROE,55081,5508187525,WILTON,V,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,102,102
MONROE,55081,5508187525,WILTON,V,2017,SUPREME COURT,SCATTERING,SCATTERING,0,102
MONROE,55081,5508187525,WILTON,V,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,29,66
MONROE,55081,5508187525,WILTON,V,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,37,66
MONROE,55081,5508187525,WILTON,V,2018,SUPREME COURT,SCATTERING,SCATTERING,0,66
MONROE,55081,5508187525,WILTON,V,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,36,93
MONROE,55081,5508187525,WILTON,V,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,56,93
MONROE,55081,5508187525,WILTON,V,2019,SUPREME COURT,SCATTERING,SCATTERING,1,93
MONROE,55081,5508187525,WILTON,V,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,56,120
MONROE,55081,5508187525,WILTON,V,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,64,120
MONROE,55081,5508187525,WILTON,V,2020,SUPREME COURT,SCATTERING,SCATTERING,0,120
MONROE,55081,5508187525,WILTON,V,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,87,182
MONROE,55081,5508187525,WILTON,V,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,94,182
MONROE,55081,5508187525,WILTON,V,2023,SUPREME COURT,SCATTERING,SCATTERING,1,182
MONROE,55081,5508187525,WILTON,V,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,73,164
MONROE,55081,5508187525,WILTON,V,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,91,164
MONROE,55081,5508187525,WILTON,V,2025,SUPREME COURT,SCATTERING,SCATTERING,0,164
MONROE,55081,5508187525,WILTON,V,2026,SUPREME COURT,CONSERVATIVE,MARIA S. LAZAR,35,89
MONROE,55081,5508187525,WILTON,V,2026,SUPREME COURT,LIBERAL,CHRIS TAYLOR,54,89
MONROE,55081,5508187525,WILTON,V,2026,SUPREME COURT,SCATTERING,SCATTERING,0,89
MONROE,55081,5508187550,WILTON,T,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,26,37
MONROE,55081,5508187550,WILTON,T,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,11,37
MONROE,55081,5508187550,WILTON,T,2000,SUPREME COURT,SCATTERING,SCATTERING,0,37
MONROE,55081,5508187550,WILTON,T,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",39,39
MONROE,55081,5508187550,WILTON,T,2001,SUPREME COURT,SCATTERING,SCATTERING,0,39
MONROE,55081,5508187550,WILTON,T,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,51,101
MONROE,55081,5508187550,WILTON,T,2003,SUPREME COURT,LIBERAL,ED BRUNNER,50,101
MONROE,55081,5508187550,WILTON,T,2003,SUPREME COURT,SCATTERING,SCATTERING,0,101
MONROE,55081,5508187550,WILTON,T,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,95,95
MONROE,55081,5508187550,WILTON,T,2005,SUPREME COURT,SCATTERING,SCATTERING,0,95
MONROE,55081,5508187550,WILTON,T,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,33,33
MONROE,55081,5508187550,WILTON,T,2006,SUPREME COURT,SCATTERING,SCATTERING,0,33
MONROE,55081,5508187550,WILTON,T,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,45,69
MONROE,55081,5508187550,WILTON,T,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,24,69
MONROE,55081,5508187550,WILTON,T,2007,SUPREME COURT,SCATTERING,SCATTERING,0,69
MONROE,55081,5508187550,WILTON,T,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,29,45
MONROE,55081,5508187550,WILTON,T,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,16,45
MONROE,55081,5508187550,WILTON,T,2008,SUPREME COURT,SCATTERING,SCATTERING,0,45
MONROE,55081,5508187550,WILTON,T,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,23,40
MONROE,55081,5508187550,WILTON,T,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,17,40
MONROE,55081,5508187550,WILTON,T,2009,SUPREME COURT,SCATTERING,SCATTERING,0,40
MONROE,55081,5508187550,WILTON,T,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",49,88
MONROE,55081,5508187550,WILTON,T,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,39,88
MONROE,55081,5508187550,WILTON,T,2011,SUPREME COURT,SCATTERING,SCATTERING,0,88
MONROE,55081,5508187550,WILTON,T,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,34,58
MONROE,55081,5508187550,WILTON,T,2013,SUPREME COURT,LIBERAL,ED FALLONE,24,58
MONROE,55081,5508187550,WILTON,T,2013,SUPREME COURT,SCATTERING,SCATTERING,0,58
MONROE,55081,5508187550,WILTON,T,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,33,90
MONROE,55081,5508187550,WILTON,T,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,57,90
MONROE,55081,5508187550,WILTON,T,2015,SUPREME COURT,SCATTERING,SCATTERING,0,90
MONROE,55081,5508187550,WILTON,T,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,88,151
MONROE,55081,5508187550,WILTON,T,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,63,151
MONROE,55081,5508187550,WILTON,T,2016,SUPREME COURT,SCATTERING,SCATTERING,0,151
MONROE,55081,5508187550,WILTON,T,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,36,36
MONROE,55081,5508187550,WILTON,T,2017,SUPREME COURT,SCATTERING,SCATTERING,0,36
MONROE,55081,5508187550,WILTON,T,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,28,52
MONROE,55081,5508187550,WILTON,T,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,24,52
MONROE,55081,5508187550,WILTON,T,2018,SUPREME COURT,SCATTERING,SCATTERING,0,52
MONROE,55081,5508187550,WILTON,T,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,41,75
